kernel,n,comp,block_size,run,kernel_time,total_time
a,33554432,1,64,9,0.001496,1.456817
a,33554432,1,64,10,0.001497,1.422918
a,65536,1,128,1,0.000119,0.159742
a,65536,1,128,2,0.000112,0.158437
a,65536,1,128,3,0.000112,0.153018
a,65536,1,128,4,0.000113,0.138704
a,65536,1,128,5,0.000114,0.140465
a,65536,1,128,6,0.000113,0.139991
a,65536,1,128,7,0.000113,0.14417
a,65536,1,128,8,0.000113,0.137566
a,65536,1,128,9,0.000137,0.137811
a,65536,1,128,10,0.000138,0.145466
a,131072,1,128,1,0.000116,0.141085
a,131072,1,128,2,0.000116,0.141925
a,131072,1,128,3,0.000112,0.14098
a,131072,1,128,4,0.000135,0.151623
a,131072,1,128,5,0.000113,0.148907
a,131072,1,128,6,0.000112,0.148295
a,131072,1,128,7,0.000114,0.143375
a,131072,1,128,8,0.000114,0.151464
a,131072,1,128,9,0.000114,0.141314
a,131072,1,128,10,0.000116,0.140916
a,262144,1,128,1,0.000126,0.15666
a,262144,1,128,2,0.000124,0.146559
a,262144,1,128,3,0.000127,0.145995
a,262144,1,128,4,0.000128,0.151499
a,262144,1,128,5,0.000123,0.156329
a,262144,1,128,6,0.000124,0.153213
a,262144,1,128,7,0.000152,0.151132
a,262144,1,128,8,0.000127,0.15486
a,262144,1,128,9,0.000128,0.154652
a,262144,1,128,10,0.000152,0.149109
a,524288,1,128,1,0.000147,0.157514
a,524288,1,128,2,0.000148,0.169109
a,524288,1,128,3,0.000147,0.156638
a,524288,1,128,4,0.000147,0.151596
a,524288,1,128,5,0.000149,0.158281
a,524288,1,128,6,0.000155,0.169042
a,524288,1,128,7,0.000176,0.168888
a,524288,1,128,8,0.000164,0.157342
a,524288,1,128,9,0.000158,0.158271
a,524288,1,128,10,0.000152,0.16123
a,1048576,1,128,1,0.000191,0.177688
a,1048576,1,128,2,0.000195,0.176898
a,1048576,1,128,3,0.000187,0.186718
a,1048576,1,128,4,0.000191,0.177461
a,1048576,1,128,5,0.000188,0.189084
a,1048576,1,128,6,0.000194,0.178524
